Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000087492,-0.6037075524,-0.6037075524,-0.6037075524,1.9836105443,-0.6037075524,1.1211711614,-0.6037075524,1.1211711614,-0.6037075524,0.8923127832
ENSMUSG00000108584,-0.8751322673,0.2039487613,-0.7797033328,1.976724737,-0.7283185219,-0.5032041124,0.6737527466,1.28302979,-0.6989557729,-0.316227766
ENSMUSG00000085550,-0.6995493165,0.2888719347,-0.6995493165,1.9462247396,-0.6995493165,-0.5531165384,1.6367190953,-0.100506134,-0.6995493165,-0.316227766
ENSMUSG00000091184,-0.9192771196,-0.2298192799,0.7813855516,1.8845180951,-0.9192771196,-0.9192771196,-0.9192771196,-0.2757831359,0.4596385598,-0.4382285444
ENSMUSG00000107256,0.3870397352,0.3015549497,-0.8745977868,1.866810847,-0.8745977868,-0.8156427623,-0.8745977868,0.9176349546,-0.8745977868,-0.316227766
ENSMUSG00000108015,-0.6049639772,0.2706417793,-0.6049639772,1.8626522455,-0.6049639772,-0.2865618839,-0.6049639772,-0.6049639772,-0.6049639772,-0.316227766
ENSMUSG00000104872,1.0638243207,-0.3224406328,0.7881031145,1.845034405,-1.08067395,-0.5905029167,0.2826142364,-0.6517742958,-0.0237426594,0.5911695247
ENSMUSG00000103138,-1.274567516,1.1744612315,-0.9885495601,1.8358777545,-0.0589912034,-0.1304956924,-0.2020001814,0.7990626643,-0.9527973156,-0.1461975528
ENSMUSG00000110240,-0.6034506105,-0.2452933573,0.2800350778,1.8350072459,-0.6725604846,-1.012506352,-1.0507969579,-0.3568964649,1.5268145639,1.622138019
ENSMUSG00000098178,-0.5783793488,0.4580229525,-0.5783793488,1.8287485768,-0.5783793488,-0.5783793488,-0.5783793488,-0.5783793488,1.7618839122,-0.0646618801
ENSMUSG00000097904,-0.6125490516,0.4660985267,-0.6125490516,1.8209851189,1.7552139251,-0.6125490516,-0.6125490516,-0.3670032612,-0.6125490516,1.4405600141
ENSMUSG00000085885,-1.1156323638,-0.7782269525,0.2998244833,1.7893459328,-0.9510443583,-0.6383271479,1.1803703126,-0.1719944658,0.9170295038,1.376853236
ENSMUSG00000108752,-0.9428003047,-0.8364694433,0.7112353176,1.7863584721,-0.7537676622,0.5222026751,-0.6828804212,-1.1790911079,0.8766388798,-0.6955153219
